model_name,model_type,updated,downloaded,liked
distilbert-base-uncased-finetuned-sst-2-english,Text Classification,Oct 26,35.8M,352
cardiffnlp/twitter-roberta-base-irony,Text Classification,Aug 2,6.75M,13
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,Text Classification,Mar 16,6.5M,122
lxyuan/distilbert-base-multilingual-cased-sentiments-student,Text Classification,Jun 24,6.5M,53
SamLowe/roberta-base-go_emotions,Text Classification,Oct 4,6.48M,189
Ashishkr/query_wellformedness_score,Text Classification,19 days ago,6.4M,14
marieke93/MiniLM-evidence-types,Text Classification,"Jun 11, 2022",6.4M,5
cardiffnlp/twitter-roberta-base-sentiment,Text Classification,Jan 20,5.69M,225
nlptown/bert-base-multilingual-uncased-sentiment,Text Classification,Jul 27,1.83M,205
ProsusAI/finbert,Text Classification,May 23,1.75M,387
cardiffnlp/twitter-roberta-base-sentiment-latest,Text Classification,May 28,1.61M,267
martin-ha/toxic-comment-model,Text Classification,"May 6, 2022",1.2M,31
cardiffnlp/twitter-xlm-roberta-base-sentiment,Text Classification,Jul 19,1.13M,152
koheiduck/bert-japanese-finetuned-sentiment,Text Classification,"Dec 20, 2022",837k,10
savasy/bert-base-turkish-sentiment-cased,Text Classification,Jun 22,741k,20
j-hartmann/emotion-english-distilroberta-base,Text Classification,Jan 2,707k,248
microsoft/deberta-large-mnli,Text Classification,"May 21, 2021",669k,8
papluca/xlm-roberta-base-language-detection,Text Classification,18 days ago,492k,161
cross-encoder/ms-marco-MiniLM-L-12-v2,Text Classification,"Aug 5, 2021",473k,36
cardiffnlp/twitter-roberta-base-offensive,Text Classification,"Nov 28, 2022",422k,11
