model_name,model_url,app_list,total_app
distilbert-base-uncased-finetuned-sst-2-english,https://huggingface.co/distilbert-base-uncased-finetuned-sst-2-english,"['microsoft/HuggingGPT', 'society-ethics/model-card-regulatory-check', 'optimum/optimum-benchmark-ui', 'nazneen/interactive-model-cards', 'ccolas/TastyPiano', 'ANDRYHA/FakeNewsClassifier', 'nazneen/seal', 'taesiri/HuggingGPT-Lite', 'CK42/sentiment-model-comparison', 'EnzoBustos/IC-2022-Classificacao-de-Dados-Financeiros', 'nazneen/error-analysis', 'fxmarty/bettertransformer-demo', 'echarlaix/openvino-export', 'autoevaluate/error-analysis', 'tinkoff-ai/caif', 'chinhon/Speech_Sentiment_Analysis', 'butterswords/nlc-explorer', 'kyleledbetter/responsibleGPT', 'Olivernyu/sentiment_analysis_app', 'Uvini/Hotel-Reviews', 'Endre/SemanticSearch-HU', 'abidlabs/call-sentiment-blocks-2', 'greco/survey_analytics_spaces', 'rajistics/interpet_transformers', 'codesue/dystopedia', 'TangibleAI/mathtext', 'abrar-adnan/speech-analyzer', 'kingsotn/tt-ai', 'ccarr0807/HuggingGPT', 'emmaenglish/sentiment-analysis-of-text-app', 'AiPalsDev/Translate_It', 'theholycityweb/HuggingGPT', 'Sohaibahmad/AIdetector', 'contluForse/HuggingGPT', 'Alfasign/HuggingGPT-Lite', 'saurshaz/HuggingGPT', 'ivyblossom/sentiment-analysis', 'Visgift/nyami', 'Fouzia/Harvard-USPTO_Patentability-Score', 'gourib/llama_demo', 'iabualhaol/pdfchat', 'kudoshinichi/hf-sentiment-models', 'chinhon/sentiment_structure_visualiser', 'justheuristic/ysda-demo', 'ayse/sentiment-classifier', 'husnu/ASR_to_QA', 'ombhagwat24/senti', 'Saurav21/Sentiment-Analysis', 'anonymous8/Rapid-Textual-Adversarial-Defense', 'pattawat/stat_ds__02', 'Jindong/test123', 'Booguy/linguask', 'fabiochiu/sentiment-analysis-demo', 'mattaylor/embedding', 'ucd-fs/sentiment-analysis', 'madani/space1', 'madani/streamlit1', 'pngwn/sentiment-analysis-demo', 'Rimi98/ReviewClassifier', 'awacke1/TorchMLTrainerStreamlit', 'kelvinleong/Kt_Demo_Text-Classification', 'kelvinleong/Kt-Demo-Text_classifier', 'ac8736/sentiment-analysis-app', 'JulianHame/sentiment-analysis-app', 'cfsandu/OnLineSentimentAnalysis', 'mariasandu/sentiment-analysis-of-a-tweet', 'sergey-hovhannisyan/toxic-tweets', 'sihanasaku/SentimentAnalysisApp', 'sachiniyer/toxic-tweets', 'miknad2319/CS485-Milestone-2', 'Soruki/Sentiment-analyzer', 'Keshavp08/sentiment-analysis-app', 'Jainesh212/Sentiment_Ana', 'andyqin18/sentiment-analysis-app', 'keaneu/HuggingGPT', 'aim9061/sentiment-analysis', 'viscosity/HuggingGPT', 'Michael54546/milestone2', 'Hrithikka/sentiment-analysis', 'davidchiii/toxic-tweets', 'slachitoff/CS-GY_6613_Project', 'Kev07/Toxic-Tweets', 'dk3156/sentiment_analysis_app', 'Mcdof/HuggingGPT', 'VarshithaCh/sentiment-analysis-app', 'rd448/sentiment-analysis-streamlit', 'BMukhtar/BMA', 'chrisW6825/HuggingGPT', 'Shenziqian/HuggingGPT', 'lokutus/HuggingGPT', 'mimiqiao/HuggingGPT', 'arpachat/sentiment-analysis', 'tsgbalakarthik/HuggingGPT', 'Rathgeberj/CS-UY4613Project', 'wowochkin/HuggingGPT', 'Msp/HuggingGPT', 'notbhu/toxic-tweets', 'v-nemala/sentiment-analysis', 'CodyJiang/text-sentiment-analysis-app', 'oscarvel821/sentiment-analysis-app', 'mohdAkibUddin/sentiment-analysis-application', 'dbleek/cs-gy-6613-project', 'jlaf01/sentiment-analysis-app', 'RobCaamano/Finetuning_Language_Models-Toxic_Tweets', 'Ptato/Sentiment-Analysis', 'metaknightccc/sentiment-analysis-app', 'Rafarod513/sentiment-analysis-cs482', 'medelharchaoui/sent_app', 'ryan12439/HuggingGPTpub', 'FANCHIYU/HuggingGPT', 'Betacuckgpt/HuggingGPT', 'cashqin/HuggingGPT', 'felixfriday/MICROSOFTT_JARVIS_HuggingGPT', 'Meffordh/HuggingGPT', 'lzqfree/HuggingGPT', 'bountyfuljr/HuggingGPTplaypublic', 'mearjunsha/HuggingGPT', 'turbowed/HuggingGPT', 'Chokyounghoon/HuggingGPT', 'lollo21/Will-GPT', 'Pfs2021Funny/HuggingGPT', 'irritablebro/HuggingGPT', 'julianna-fil/EmotionApp', 'MagKoz/HuggingGPT', 'zhangdream/HuggingGPT', 'sepo96/sentiment_analysis', 'gefedya/YSDA_transfprmers_nlp_ops', 'calliber/HuggingGPT', 'Pitak/HuggingGPT', 'gaocegege/HuggingGPT', 'apgarmd/jarvis', 'apgarmd/jarvis2', 'mukulnag/HuggingGPT1', 'lugifudun/HuggingGPT', 'leadmaister/HuggingGPT', 'pors/HuggingGPT', 'vs4vijay/HuggingGPT', 'AhmedFaisal/milestone-3', 'mariasandu/detecting-toxic-tweets', 'mariasandu/toxic-comment-app', 'mckeeboards/HuggingGPT', 'Mcdimmy/testing', 'JKJanosko/Toxicity-Analysis', 'v-nemala/toxic-comment-classification', 'cdb24/Milestone3', 'CodyJiang/Finetuning-Sentiment-Analysis-App', 'mastere00/JarvisMeetsProfessor', 'passthebutter/HuggingGPT', 'manu1435/HuggingGPT', 'rafaelcalleja/HuggingGPT', 'NaamanSaif/HuggingGPT', 'VarshithaCh/patentability', 'dbleek/cs-gy-6613-project-final', 'CollaalloC/HuggingGPT', 'dwolfe66/HuggingGPT', 'xian-sheng/HuggingGPT', 'Aygtljl518866/HuggingGPT', 'Hemi1403/HuggingGPT', 'trhacknon/HuggingGPT', 'Vito99/HuggingGPT-Lite', 'EinfachOlder/HuggingGPT-Lite', 'diadeMniaso/SentimentAnalysisApp', 'aus10powell/test', 'glrh11/distilbert-base-uncased-finetuned-sst-2-english', 'sumitdas1984/gradio-sentiment-analyzer', 'innovativeillusions/HuggingGPT', 'snowc2023/simple-sentiment-analyzer', 'Bonosa2/SentimentAnalysis', 'yashaswini278/sentiment_analysis', 'VeyVey/PredictIncome', 'vasevooo/NLP_project', 'jignasha/Sentiment_Analysis', 'kefkefkefkef/imdb2', 'Elliot-AIGC/Sentiment_classification_by_Elliot', 'ylavie/HuggingGPT3', 'ylavie/HuggingGPT-Lite', 'lokraj2/sequencer', 'Chris4K/chained', 'CCYAO/HuggingGPT', 'SumanthKarnati/KnowTheText', 'mvasani/mysentimentapp', 'mvasani/trial_space', 'Krupa049/Milestone-2', 'dcams/HuggingGPT', 'coolkrishds/app_demo2', 'ahmedalrashedi/demo', 'cpereira/ai-marketplace', 'cndavy/HuggingGPT', 'nextgenai/myspace-1', 'Pranjal12345/SentimentAnalysis', 'GroNLP/LM-Explanation-Demo', 'Ankush05/Code8', 'TensorBoyML/Lucky', 'deniandriancode/simple-sentiment-analysis-pipeline', 'iabualhaol/test_sent', 'Bayhaqy/Classification-News-Analysis-and-Prediction', 'SSHAMZZ/Host_trial_1', 'pattawat/hh', '640510702phithak/Text_Generator', '640510702phithak/Sentiment-Analysis', 'ZackBradshaw/omni_bot', 'atrifat/tt-ai', 'atrifat/hate-speech-test-api', 'pjeena/Customer-Insights', 'sujit2050/learning', 'scademy/distilbert-sentiment-analysis', 'Interactive-Coventry/IVR__demo', 'mokshdudeja/FakeNewsClassifier_by_Moksh_and_pooja']",208
cardiffnlp/twitter-roberta-base-irony,https://huggingface.co/cardiffnlp/twitter-roberta-base-irony,['Eberhenriquez/cardiffnlp-twitter-roberta-base-irony'],1
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,https://huggingface.co/mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,"['sohomghosh/FLUEnT', 'Anthos23/hummus', 'nikoifirewall/First_shot_gradio_covid_sentiment_analysis', 'slachitoff/CS-GY_6613_Project', 'saccharinedreams/sentiment-analysis-app', 'Alejandrapulidoa/PriceScopev2', 'Alejandrapulidoa/finetuned-financial-news-sentiment-analysis', 'shekolla/finbert-financial-sentiment', 'ellyothim/first_shot_sentiment_analysis', 'ellyothim/First_shot_gradio_covid_sentiment_analysis', 'Jamal914/First_shot_gradio_covid_sentiment_analysis', 'Mavrck307/mrm8488-distilroberta-finetuned-financial-news-sentiment-analysis', 'jboyerjr/mrm8488-distilroberta-finetuned-financial-news-sentiment-analysis', 'Ahmad-Moiz/classification-Sentiment']",14
lxyuan/distilbert-base-multilingual-cased-sentiments-student,https://huggingface.co/lxyuan/distilbert-base-multilingual-cased-sentiments-student,"['jingwora/language-emotion-classification-sentiment-ja', 'storresbusquets/demo1', 'miscjose/Data-Annotation-Tool', 'storresbusquets/llm-demo1', 'AndresAlejandro/demo1', 'AndresAlejandro/llm-demo1-finalfinal', 'storresbusquets/tfm-media-insights', 'alexvaroz/sentiment_analysis_pt', 'DanyaalMajid/NLP-Q2', 'syedabdullah32/sentiments-student']",10
SamLowe/roberta-base-go_emotions,https://huggingface.co/SamLowe/roberta-base-go_emotions,"['Pontonkid/Real-Time-Multilingual-sentiment-analysis', 'muneebashraf/Visual-Sentiment-Analyzer', 'Vadala/SamLowe-roberta-base-go_emotions', 'noelfranthomas/Cratic_test', 'feierdun/SamLowe-roberta-base-go_emotions', 'rbyat/Immortal-Beloved', 'exogenous/Real-Time-Multilingual-sentiment-analysis', 'yilin1344/my_first_space', 'coffeebeans-ai/audio_sentiment_analysis', 'detian/SamLowe-roberta-base-go_emotions', 'Subhanshu999999/movie-sentiment-analysis', 'TIXTPCOA/SamLowe-roberta-base-go_emotions', 'Zigzagindia/electron_asr', 'LimKopi/Whisper-Audio-Analysis', 'agkbv/SamLowe-roberta-base-go_emotions', 'WeiHan123/Audio-Analysis', 'djdipt/SIH-docker-backend', 'mfernezir/SentimentAnalysis', 'kaungmyat/SamLowe-roberta-base-go_emotions', 'rayespinozah/project.audio.sentiment', 'Maryam-1/SamLowe-roberta-base-go_emotions', 'thocky/LLMProjects', 'Maryam-1/emotions_classification', 'attaelahi/Emotion-Detection', 'blobcurry/test1234', 'Maryam-1/Project-1', 'testDS/SamLowe-roberta-base-go_emotions', 'DanyaalMajid/NLP-Q2']",28
Ashishkr/query_wellformedness_score,https://huggingface.co/Ashishkr/query_wellformedness_score,[],0
marieke93/MiniLM-evidence-types,https://huggingface.co/marieke93/MiniLM-evidence-types,[],0
cardiffnlp/twitter-roberta-base-sentiment,https://huggingface.co/cardiffnlp/twitter-roberta-base-sentiment,"['miesnerjacob/Multi-task-NLP', 'Jayeshbhaal/news_filter_for_social_wellbeing', 'aus10powell/TwitterAccounts', 'Olivernyu/sentiment_analysis_app', 'johnowhitaker/twitter_viz', 'pouchedfox/SP', 'Mohit-321/WhatsappchatAnalyzer', 'kajalag/Whatsapp_Chat_Analyzer', 'Bedirhan/bitirme-proje', 'pouchedfox/Sen', 'euvieeugenio/textclassification_demo_app', 'varunkuntal/twitter-roberta-base-sentiment', 'furquan/TwitterSentimentAnalysisRoberta', 'edusei/sentiment', 'Captainlongshort/TwitterSentiment', 'ac8736/sentiment-analysis-app', 'MJ3128/CS-GY-6613-Project', 'sethlxk/milestone2', 'sihanasaku/SentimentAnalysisApp', 'juliaannjose/SentimentAnalysis', 'EmirLise/sentiment_analysis', 'arianasutanto/milestone2', 'miknad2319/CS485-Milestone-2', 'andyqin18/sentiment-analysis-app', 'dahongj/sentiment-analysis', 'slachitoff/CS-GY_6613_Project', 'Kev07/Toxic-Tweets', 'VarshithaCh/sentiment-analysis-app', 'jbraha/aiproject', 'notbhu/toxic-tweets', 'simon-kurbiel/sen-analysis', 'simon-kurbiel/Sentiment-Analysis', 'Ptato/Sentiment-Analysis', 'saccharinedreams/sentiment-analysis-app', 'AaronBarbosa/twitter_sentiment', 'xingxing12/cardiffnlp-twitter-roberta-base-sentiment', 'dperales/ITACA_Insurance_Core_v4', 'jeromechew15/milestone2', 'rk2546/csgy-6613-project-rk2546', 'EmirLise/Toxic_Clasifier', 'JKJanosko/Toxicity-Analysis', 'simon-kurbiel/tweet-toxicity', 'rbbotadra/toxicity-analyzer-app', 'danielperales/ITACA_Insurace_NLP_v2', 'VarshithaCh/patentability', 'HarshAI/Dual_Model_Sentiment_Analyzer', 'diadeMniaso/SentimentAnalysisApp', 'SaraHossam/SentimentAnalysis', 'Mohit-321/Whatsapp_Chat_Analyzer', 'nassga/Toxic_tweets_analizer', 'k-varma/tweet-sentiment-analysis', 'HOLYBOY/Sentiment_Analysis_App', 'asungajinli/cardiffnlp-twitter-roberta-base-sentiment', 'lokesh6361/analysis', 'benmanks/Sentiment-app', 'jatinjaglan/wca', 'RosiSoyYo/AIIA']",57
nlptown/bert-base-multilingual-uncased-sentiment,https://huggingface.co/nlptown/bert-base-multilingual-uncased-sentiment,"['CK42/sentiment-model-comparison', 'EnzoBustos/IC-2022-Classificacao-de-Dados-Financeiros', 'awacke1/Daredevil-Text-Generation', 'AE-NV/sentiment-productreview', 'SamiAlghamdi/FirstEver', 'BulatF/StreamlitSentiment', 'Sudhanshu976/NLP_FULL_APP', 'kmanoj/Sentiment_Analysis', 'utec/Manuel2002', 'kennyhelsens/mlux-feedback-tally', 'Wootang01/sentiment_analyzer_3', 'snoopy731/Goodreads-Score', 'nikhil567/book-recommend-review-system', 'HamidBekam/Test_DeployingHFMs_Gradio', 'junming-qiu/toxic-tweets-milestone-2', 'juliaannjose/SentimentAnalysis', 'Samp007/Sentiment-analysis-app', 'slachitoff/CS-GY_6613_Project', 'corykhal/AI-project', 'Sixty9/TA3', 'Sixty9/TA4', 'Sixty9/TA5', 'Sixty9/TA6', 'ShadowDominator/feedback-sentiment-analysis', 'ShadowDominator/sentiment-analysis', 'mohanchinnappan/senti', 'After-the-Dark/sentiment-analysis', 'Matt-CB/TwitterAccountAnalyzer', 'VeyVey/CovidSentiment', 'VeyVey/Predict_Weather', 'Sixty9/TA7', 'Sixty9/Sixth_Sense', 'patel18/sentiment_analysis', 'santireyg/memeficador', 'Shweta0801/demo-app-text-sentiment-analysis', 'joey1895/nlptown-bert-base-multilingual-uncased-sentiment', 'Chris4K/chained', 'kitakitune/spaces0703', 'Krupa049/Milestone-2', 'CosmoAI/CosmoS', 'alexanderander30/nlptown-bert-base-multilingual-uncased-sentiment', 'Sixty9/SixthSense', 'Abdel/nlptown-bert-base-multilingual-uncased-sentiment', 'GroNLP/LM-Explanation-Demo', 'TensorBoyML/Lucky-Pika', 'Sowmya1022/nlptown-bert-base-multilingual-uncased-sentiment', 'ans123/nlptown-bert-base-multilingual-uncased-sentiment', 'LeireTedCas/QUIROHELP_WEB_v1', 'rohanvetale/sent1', 'taimoor61/classification', '7jimmy/textclassificationbysharjeel', '7jimmy/textclassificationbyjiimy']",52
ProsusAI/finbert,https://huggingface.co/ProsusAI/finbert,"['IoannisTr/Tech_Stocks_Trading_Assistant', 'sbhatti2009/stock-analysis', 'Shredder/CONBERT-3', 'EnzoBustos/IC-2022-Classificacao-de-Dados-Financeiros', 'amgross01/Stocks_Trading_Assistant', 'darthPanda/Social_media_sentiment_tracker', 'sohomghosh/FinLanSer_Financial_Language_Simplifier', 'Shredder/CONBERT-2', 'sohomghosh/FLUEnT', 'sohomghosh/FinRead', 'rajistics/interpet_transformers', 'Shredder/CONBERT', 'ESG-TFM-UV/ESG_API_BATCH', 'Swindu/ProsusAI-finbert', 'awacke1/HEDIS.Dash.Component.Top.Clinical.Terminology.Vocabulary', 'talaa/Financial-sentiment-news-analysis', 'TrungTech/finBert', 'kudoshinichi/hf-sentiment-models', 'mixcard/text-finbert', 'vives/bert_cvent_top_k_sim', 'husnu/ASR_to_QA', 'Shredder/Prototype', 'Shredder/Sample', 'kandy/Lab_stat', 'wiraindrak/financial-sentiment-classification-indonesia', 'wuwu1/ProsusAI-finbert', 'darthPanda/SentimentAnalysisTool', 'ateliershen/ProsusAI-finbert', 'kelvinleong/Kt-Demo-Text_classifier-2', 'ac8736/sentiment-analysis-app', 'miknad2319/CS485-Milestone-2', 'Pruthul/CS482-104-Milestone2', 'slachitoff/CS-GY_6613_Project', 'huangtianba/ProsusAI-finbert', 'JKJanosko/Toxicity-Analysis', '2gauravc/ProsusAI-finbert', 'kya5/CS482-Milestone2', 'flexcupVcomka/Kt-Demo-Text_classifier-2', 'Ntabukiraniro/Finance', 'daramaccoille/ProsusAI-finbert', 'teragron/ekmek', 'Himanshusingh/sec_sentiment_analysis', 'manvik28/SEC_Sentiment_Analysis', 'asungajinli/ProsusAI-finbert', 'TrungTech/Financial_Sentiment_Analysis_with_BERT', 'kp03/finBert', 'davissong01/financial-sentiment-analysis', 'nsjzg/ProsusAI-finbert', 'justlookup/ProsusAI-finbert', 'alexpaul/ProsusAI-finbert', 'JaCrispy35/financial_sentiment_analysis_advisor']",51
